1, 129, 1, 1, 1, Ejercicio ligero por 30 minutos
2, 60, 2, 2, 2, 
3, 37, 3, 3, 3, Dormir por lo menos 8 horas al dia
4, 82, 4, 4, 4, 
5, 106, 5, 5, 5, Moderar ingesta de grasas
6, 82, 6, 6, 6, 
7, 87, 7, 7, 7, 
8, 33, 8, 8, 8, 
9, 46, 9, 9, 9, Cortar la ingesta de alcochol
10, 12, 10, 10, 10, 
11, 87, 11, 11, 11, Ejercicio ligero por 30 minutos
12, 37, 12, 12, 12, 
13, 73, 13, 13, 13, Dormir por lo menos 8 horas al dia
14, 13, 14, 14, 14, 
15, 46, 15, 15, 15, Moderar ingesta de grasas
16, 3, 16, 16, 16, 
17, 106, 17, 17, 17, 
18, 45, 18, 18, 18, 
19, 1, 19, 19, 19, Cortar la ingesta de alcochol
20, 13, 20, 20, 20, 
21, 102, 21, 21, 21, Ejercicio ligero por 30 minutos
22, 29, 22, 22, 22, 
23, 12, 23, 23, 23, Dormir por lo menos 8 horas al dia
24, 89, 24, 24, 24, 
25, 45, 25, 25, 25, Moderar ingesta de grasas
26, 6, 26, 26, 26, 
27, 110, 27, 27, 27, 
28, 6, 28, 28, 28, 
29, 60, 29, 29, 29, Cortar la ingesta de alcochol
30, 82, 30, 30, 30, 
31, 29, 31, 31, 31, Ejercicio ligero por 30 minutos
32, 13, 32, 32, 32, 
33, 97, 33, 33, 33, Dormir por lo menos 8 horas al dia
34, 29, 34, 34, 34, 
35, 46, 35, 35, 35, Moderar ingesta de grasas
36, 13, 36, 36, 36, 
37, 33, 37, 37, 37, 
38, 110, 38, 38, 38, 
39, 1, 39, 39, 39, Cortar la ingesta de alcochol
40, 45, 40, 40, 40, 
41, 12, 41, 41, 41, Ejercicio ligero por 30 minutos
42, 89, 42, 42, 42, 
43, 37, 43, 43, 43, Dormir por lo menos 8 horas al dia
44, 33, 44, 44, 44, 
45, 3, 45, 45, 45, Moderar ingesta de grasas
46, 129, 46, 46, 46, 
47, 37, 47, 47, 47, 
48, 60, 48, 48, 48, 
49, 1, 49, 49, 49, Cortar la ingesta de alcochol
50, 110, 50, 50, 50, 
51, 73, 51, 51, 51, Ejercicio ligero por 30 minutos
52, 13, 52, 52, 52, 
53, 86, 53, 53, 53, Dormir por lo menos 8 horas al dia
54, 6, 54, 54, 54, 
55, 46, 55, 55, 55, Moderar ingesta de grasas
56, 12, 56, 56, 56, 
57, 87, 57, 57, 57, 
58, 33, 58, 58, 58, 
59, 29, 59, 59, 59, Cortar la ingesta de alcochol
60, 110, 60, 60, 60, 
61, 1, 61, 61, 61, Ejercicio ligero por 30 minutos
